author,title,rating,description,source,buy_link
E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,Book by E.L. James,goodbooks,"https://www.amazon.in/s?k=Fifty+Shades+of+Grey+(Fifty+Shades,+#1)"
"Paulo Coelho, Alan R. Clarke",The Alchemist,3.82,"Book by Paulo Coelho, Alan R. Clarke",goodbooks,https://www.amazon.in/s?k=The+Alchemist
Lois Lowry,"The Giver (The Giver, #1)",4.12,Book by Lois Lowry,goodbooks,"https://www.amazon.in/s?k=The+Giver+(The+Giver,+#1)"
C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,Book by C.S. Lewis,goodbooks,"https://www.amazon.in/s?k=The+Lion,+the+Witch,+and+the+Wardrobe+(Chronicles+of+Narnia,+#1)"
Audrey Niffenegger,The Time Traveler's Wife,3.95,Book by Audrey Niffenegger,goodbooks,https://www.amazon.in/s?k=The+Time+Traveler's+Wife
George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,Book by George R.R. Martin,goodbooks,"https://www.amazon.in/s?k=A+Game+of+Thrones+(A+Song+of+Ice+and+Fire,+#1)"
Elizabeth Gilbert,"Eat, Pray, Love",3.51,Book by Elizabeth Gilbert,goodbooks,"https://www.amazon.in/s?k=Eat,+Pray,+Love"
Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,Book by Rick Riordan,goodbooks,"https://www.amazon.in/s?k=The+Lightning+Thief+(Percy+Jackson+and+the+Olympians,+#1)"
Louisa May Alcott,"Little Women (Little Women, #1)",4.04,Book by Louisa May Alcott,goodbooks,"https://www.amazon.in/s?k=Little+Women+(Little+Women,+#1)"
"Charlotte Brontë, Michael Mason",Jane Eyre,4.1,"Book by Charlotte Brontë, Michael Mason",goodbooks,https://www.amazon.in/s?k=Jane+Eyre
Nicholas Sparks,"The Notebook (The Notebook, #1)",4.06,Book by Nicholas Sparks,goodbooks,"https://www.amazon.in/s?k=The+Notebook+(The+Notebook,+#1)"
Yann Martel,Life of Pi,3.88,Book by Yann Martel,goodbooks,https://www.amazon.in/s?k=Life+of+Pi
Sara Gruen,Water for Elephants,4.07,Book by Sara Gruen,goodbooks,https://www.amazon.in/s?k=Water+for+Elephants
Markus Zusak,The Book Thief,4.36,Book by Markus Zusak,goodbooks,https://www.amazon.in/s?k=The+Book+Thief
Ray Bradbury,Fahrenheit 451,3.97,Book by Ray Bradbury,goodbooks,https://www.amazon.in/s?k=Fahrenheit+451
Stephenie Meyer,"New Moon (Twilight, #2)",3.52,Book by Stephenie Meyer,goodbooks,"https://www.amazon.in/s?k=New+Moon+(Twilight,+#2)"
Shel Silverstein,Where the Sidewalk Ends,4.29,Book by Shel Silverstein,goodbooks,https://www.amazon.in/s?k=Where+the+Sidewalk+Ends
Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",4.12,Book by Cassandra Clare,goodbooks,"https://www.amazon.in/s?k=City+of+Bones+(The+Mortal+Instruments,+#1)"
Stephenie Meyer,"Eclipse (Twilight, #3)",3.69,Book by Stephenie Meyer,goodbooks,"https://www.amazon.in/s?k=Eclipse+(Twilight,+#3)"
Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",3.86,Book by Christopher Paolini,goodbooks,"https://www.amazon.in/s?k=Eragon+(The+Inheritance+Cycle,+#1)"
Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,Book by Douglas Adams,goodbooks,"https://www.amazon.in/s?k=The+Hitchhiker's+Guide+to+the+Galaxy+(Hitchhiker's+Guide+to+the+Galaxy,+#1)"
Aldous Huxley,Brave New World,3.97,Book by Aldous Huxley,goodbooks,https://www.amazon.in/s?k=Brave+New+World
Stephenie Meyer,"Breaking Dawn (Twilight, #4)",3.7,Book by Stephenie Meyer,goodbooks,"https://www.amazon.in/s?k=Breaking+Dawn+(Twilight,+#4)"
Sue Monk Kidd,The Secret Life of Bees,4.01,Book by Sue Monk Kidd,goodbooks,https://www.amazon.in/s?k=The+Secret+Life+of+Bees
"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,3.8,"Book by Mark Twain, John Seelye, Guy Cardwell",goodbooks,https://www.amazon.in/s?k=The+Adventures+of+Huckleberry+Finn
"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,4.15,"Book by E.B. White, Garth Williams, Rosemary Wells",goodbooks,https://www.amazon.in/s?k=Charlotte's+Web
Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,Book by Mark Haddon,goodbooks,https://www.amazon.in/s?k=The+Curious+Incident+of+the+Dog+in+the+Night-Time
Paula Hawkins,The Girl on the Train,3.88,Book by Paula Hawkins,goodbooks,https://www.amazon.in/s?k=The+Girl+on+the+Train
Philip Pullman,"The Golden Compass (His Dark Materials, #1)",3.94,Book by Philip Pullman,goodbooks,"https://www.amazon.in/s?k=The+Golden+Compass+(His+Dark+Materials,+#1)"
"Emily Brontë, Richard J. Dunn",Wuthering Heights,3.82,"Book by Emily Brontë, Richard J. Dunn",goodbooks,https://www.amazon.in/s?k=Wuthering+Heights
Jodi Picoult,My Sister's Keeper,4.06,Book by Jodi Picoult,goodbooks,https://www.amazon.in/s?k=My+Sister's+Keeper
Kurt Vonnegut Jr.,Slaughterhouse-Five,4.06,Book by Kurt Vonnegut Jr.,goodbooks,https://www.amazon.in/s?k=Slaughterhouse-Five
Margaret Mitchell,Gone with the Wind,4.28,Book by Margaret Mitchell,goodbooks,https://www.amazon.in/s?k=Gone+with+the+Wind
Khaled Hosseini,A Thousand Splendid Suns,4.34,Book by Khaled Hosseini,goodbooks,https://www.amazon.in/s?k=A+Thousand+Splendid+Suns
Stephen Chbosky,The Perks of Being a Wallflower,4.21,Book by Stephen Chbosky,goodbooks,https://www.amazon.in/s?k=The+Perks+of+Being+a+Wallflower
Veronica Roth,"Insurgent (Divergent, #2)",4.07,Book by Veronica Roth,goodbooks,"https://www.amazon.in/s?k=Insurgent+(Divergent,+#2)"
Orson Scott Card,"Ender's Game (Ender's Saga, #1)",4.3,Book by Orson Scott Card,goodbooks,"https://www.amazon.in/s?k=Ender's+Game+(Ender's+Saga,+#1)"
"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,3.75,"Book by Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",goodbooks,https://www.amazon.in/s?k=Frankenstein
Stephen King,The Shining (The Shining #1),4.17,Book by Stephen King,goodbooks,https://www.amazon.in/s?k=The+Shining+(The+Shining+#1)
Stephenie Meyer,"The Host (The Host, #1)",3.84,Book by Stephenie Meyer,goodbooks,"https://www.amazon.in/s?k=The+Host+(The+Host,+#1)"
John Green,Looking for Alaska,4.09,Book by John Green,goodbooks,https://www.amazon.in/s?k=Looking+for+Alaska
Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,Book by Helen Fielding,goodbooks,"https://www.amazon.in/s?k=Bridget+Jones's+Diary+(Bridget+Jones,+#1)"
"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,4.06,"Book by Jane Austen, Tony Tanner, Ros Ballaster",goodbooks,https://www.amazon.in/s?k=Sense+and+Sensibility
"Louis Sachar, Louis Sachar","Holes (Holes, #1)",3.93,"Book by Louis Sachar, Louis Sachar",goodbooks,"https://www.amazon.in/s?k=Holes+(Holes,+#1)"
Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,Book by Lauren Weisberger,goodbooks,"https://www.amazon.in/s?k=The+Devil+Wears+Prada+(The+Devil+Wears+Prada,+#1)"
"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,3.73,"Book by Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",goodbooks,https://www.amazon.in/s?k=The+Odyssey
"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,4.28,"Book by Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",goodbooks,https://www.amazon.in/s?k=The+Little+Prince
Jeannette Walls,The Glass Castle,4.24,Book by Jeannette Walls,goodbooks,https://www.amazon.in/s?k=The+Glass+Castle
Jon Krakauer,Into the Wild,3.94,Book by Jon Krakauer,goodbooks,https://www.amazon.in/s?k=Into+the+Wild
"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,3.81,"Book by Charles Dickens, Richard Maxwell, Hablot Knight Browne",goodbooks,https://www.amazon.in/s?k=A+Tale+of+Two+Cities
Michael Crichton,"Jurassic Park (Jurassic Park, #1)",3.96,Book by Michael Crichton,goodbooks,"https://www.amazon.in/s?k=Jurassic+Park+(Jurassic+Park,+#1)"
Shel Silverstein,The Giving Tree,4.38,Book by Shel Silverstein,goodbooks,https://www.amazon.in/s?k=The+Giving+Tree
John Grisham,A Time to Kill,4.03,Book by John Grisham,goodbooks,https://www.amazon.in/s?k=A+Time+to+Kill
"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),4.3,"Book by Elie Wiesel, Marion Wiesel",goodbooks,https://www.amazon.in/s?k=Night+(The+Night+Trilogy+#1)
John Green,Paper Towns,3.88,Book by John Green,goodbooks,https://www.amazon.in/s?k=Paper+Towns
William Goldman,The Princess Bride ,4.25,Book by William Goldman,goodbooks,https://www.amazon.in/s?k=The+Princess+Bride
S.E. Hinton,The Outsiders,4.06,Book by S.E. Hinton,goodbooks,https://www.amazon.in/s?k=The+Outsiders
James Dashner,"The Maze Runner (Maze Runner, #1)",4.02,Book by James Dashner,goodbooks,"https://www.amazon.in/s?k=The+Maze+Runner+(Maze+Runner,+#1)"
"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,"Book by Steven D. Levitt, Stephen J. Dubner",goodbooks,"https://www.amazon.in/s?k=Freakonomics:+A+Rogue+Economist+Explores+the+Hidden+Side+of+Everything+(Freakonomics,+#1)"
Frances Hodgson Burnett,The Secret Garden,4.12,Book by Frances Hodgson Burnett,goodbooks,https://www.amazon.in/s?k=The+Secret+Garden
"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,4.04,"Book by Gabriel García Márquez, Gregory Rabassa",goodbooks,https://www.amazon.in/s?k=One+Hundred+Years+of+Solitude
"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,4.06,"Book by Oscar Wilde, Jeffrey Eugenides",goodbooks,https://www.amazon.in/s?k=The+Picture+of+Dorian+Gray
E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",3.88,Book by E.L. James,goodbooks,"https://www.amazon.in/s?k=Fifty+Shades+Freed+(Fifty+Shades,+#3)"
"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,3.98,"Book by Bram Stoker, Nina Auerbach, David J. Skal",goodbooks,https://www.amazon.in/s?k=Dracula
"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",4.22,"Book by Stieg Larsson, Reg Keeland",goodbooks,"https://www.amazon.in/s?k=The+Girl+Who+Played+with+Fire+(Millennium,+#2)"
E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",3.87,Book by E.L. James,goodbooks,"https://www.amazon.in/s?k=Fifty+Shades+Darker+(Fifty+Shades,+#2)"
Barbara Kingsolver,The Poisonwood Bible,4.02,Book by Barbara Kingsolver,goodbooks,https://www.amazon.in/s?k=The+Poisonwood+Bible
David Sedaris,Me Talk Pretty One Day,3.97,Book by David Sedaris,goodbooks,https://www.amazon.in/s?k=Me+Talk+Pretty+One+Day
Maurice Sendak,Where the Wild Things Are,4.22,Book by Maurice Sendak,goodbooks,https://www.amazon.in/s?k=Where+the+Wild+Things+Are
"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,4.21,"Book by Alexandre Dumas, Robin Buss",goodbooks,https://www.amazon.in/s?k=The+Count+of+Monte+Cristo
Cormac McCarthy,The Road,3.95,Book by Cormac McCarthy,goodbooks,https://www.amazon.in/s?k=The+Road
Veronica Roth,"Allegiant (Divergent, #3)",3.63,Book by Veronica Roth,goodbooks,"https://www.amazon.in/s?k=Allegiant+(Divergent,+#3)"
Tina Fey,Bossypants,3.94,Book by Tina Fey,goodbooks,https://www.amazon.in/s?k=Bossypants
Nicholas Sparks,A Walk to Remember,4.15,Book by Nicholas Sparks,goodbooks,https://www.amazon.in/s?k=A+Walk+to+Remember
Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,Book by Sophie Kinsella,goodbooks,"https://www.amazon.in/s?k=Confessions+of+a+Shopaholic+(Shopaholic,+#1)"
"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,4.14,"Book by Victor Hugo, Lee Fahnestock, Norman MacAfee",goodbooks,https://www.amazon.in/s?k=Les+Misérables
George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,Book by George R.R. Martin,goodbooks,"https://www.amazon.in/s?k=A+Clash+of+Kings+(A+Song+of+Ice+and+Fire,+#2)"
Kim Edwards,The Memory Keeper's Daughter,3.64,Book by Kim Edwards,goodbooks,https://www.amazon.in/s?k=The+Memory+Keeper's+Daughter
Jojo Moyes,"Me Before You (Me Before You, #1)",4.27,Book by Jojo Moyes,goodbooks,"https://www.amazon.in/s?k=Me+Before+You+(Me+Before+You,+#1)"
Joseph Heller,Catch-22,3.98,Book by Joseph Heller,goodbooks,https://www.amazon.in/s?k=Catch-22
"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,4.06,"Book by Mitch Albom, Saulius Dagys",goodbooks,https://www.amazon.in/s?k=Tuesdays+with+Morrie
Jeffrey Eugenides,Middlesex,3.98,Book by Jeffrey Eugenides,goodbooks,https://www.amazon.in/s?k=Middlesex
"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,3.89,"Book by Mark Twain, Guy Cardwell, John Seelye",goodbooks,https://www.amazon.in/s?k=The+Adventures+of+Tom+Sawyer
Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,Book by Madeleine L'Engle,goodbooks,"https://www.amazon.in/s?k=A+Wrinkle+in+Time+(A+Wrinkle+in+Time+Quintet,+#1)"
Amy Tan,The Joy Luck Club,3.9,Book by Amy Tan,goodbooks,https://www.amazon.in/s?k=The+Joy+Luck+Club
Margaret Atwood,The Handmaid's Tale,4.06,Book by Margaret Atwood,goodbooks,https://www.amazon.in/s?k=The+Handmaid's+Tale
Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,Book by Ann Brashares,goodbooks,"https://www.amazon.in/s?k=The+Sisterhood+of+the+Traveling+Pants+(Sisterhood,+#1)"
"Vladimir Nabokov, Craig Raine",Lolita,3.88,"Book by Vladimir Nabokov, Craig Raine",goodbooks,https://www.amazon.in/s?k=Lolita
"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,"Book by Gregory Maguire, Douglas Smith",goodbooks,"https://www.amazon.in/s?k=Wicked:+The+Life+and+Times+of+the+Wicked+Witch+of+the+West+(The+Wicked+Years,+#1)"
John Grisham,"The Firm (Penguin Readers, Level 5)",3.99,Book by John Grisham,goodbooks,"https://www.amazon.in/s?k=The+Firm+(Penguin+Readers,+Level+5)"
Emma Donoghue,Room,4.03,Book by Emma Donoghue,goodbooks,https://www.amazon.in/s?k=Room
"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,4.0,"Book by William Shakespeare, Richard Andrews, Rex Gibson",goodbooks,https://www.amazon.in/s?k=Hamlet
Frank Herbert,Dune (Dune Chronicles #1),4.19,Book by Frank Herbert,goodbooks,https://www.amazon.in/s?k=Dune+(Dune+Chronicles+#1)
Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,Book by Malcolm Gladwell,goodbooks,https://www.amazon.in/s?k=The+Tipping+Point:+How+Little+Things+Can+Make+a+Big+Difference
Walter Isaacson,Steve Jobs,4.09,Book by Walter Isaacson,goodbooks,https://www.amazon.in/s?k=Steve+Jobs
Ken Kesey,One Flew Over the Cuckoo's Nest,4.18,Book by Ken Kesey,goodbooks,https://www.amazon.in/s?k=One+Flew+Over+the+Cuckoo's+Nest
Ernest Hemingway,The Old Man and the Sea,3.73,Book by Ernest Hemingway,goodbooks,https://www.amazon.in/s?k=The+Old+Man+and+the+Sea
John Steinbeck,The Grapes of Wrath,3.92,Book by John Steinbeck,goodbooks,https://www.amazon.in/s?k=The+Grapes+of+Wrath
Mitch Albom,The Five People You Meet in Heaven,3.9,Book by Mitch Albom,goodbooks,https://www.amazon.in/s?k=The+Five+People+You+Meet+in+Heaven
L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,Book by L.M. Montgomery,goodbooks,"https://www.amazon.in/s?k=Anne+of+Green+Gables+(Anne+of+Green+Gables,+#1)"
Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",4.34,Book by Cassandra Clare,goodbooks,"https://www.amazon.in/s?k=City+of+Glass+(The+Mortal+Instruments,+#3)"
George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,Book by George R.R. Martin,goodbooks,"https://www.amazon.in/s?k=A+Storm+of+Swords+(A+Song+of+Ice+and+Fire,+#3)"
Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,3.79,Book by Rebecca Wells,goodbooks,https://www.amazon.in/s?k=Divine+Secrets+of+the+Ya-Ya+Sisterhood
Diana Gabaldon,"Outlander (Outlander, #1)",4.2,Book by Diana Gabaldon,goodbooks,"https://www.amazon.in/s?k=Outlander+(Outlander,+#1)"
"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter,3.37,"Book by Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",goodbooks,https://www.amazon.in/s?k=The+Scarlet+Letter
Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,Book by Ransom Riggs,goodbooks,"https://www.amazon.in/s?k=Miss+Peregrine’s+Home+for+Peculiar+Children+(Miss+Peregrine’s+Peculiar+Children,+#1)"
"Stieg Larsson, Reg Keeland","The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,"Book by Stieg Larsson, Reg Keeland",goodbooks,"https://www.amazon.in/s?k=The+Girl+Who+Kicked+the+Hornet's+Nest+(Millennium,+#3)"
Andy Weir,The Martian,4.39,Book by Andy Weir,goodbooks,https://www.amazon.in/s?k=The+Martian
Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,Book by Ken Follett,goodbooks,"https://www.amazon.in/s?k=The+Pillars+of+the+Earth+(The+Kingsbridge+Series,+#1)"
Anthony Doerr,All the Light We Cannot See,4.31,Book by Anthony Doerr,goodbooks,https://www.amazon.in/s?k=All+the+Light+We+Cannot+See
Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,Book by Laura Hillenbrand,goodbooks,"https://www.amazon.in/s?k=Unbroken:+A+World+War+II+Story+of+Survival,+Resilience,+and+Redemption"
Dan Brown,Deception Point,3.67,Book by Dan Brown,goodbooks,https://www.amazon.in/s?k=Deception+Point
Donna Tartt,The Goldfinch,3.87,Book by Donna Tartt,goodbooks,https://www.amazon.in/s?k=The+Goldfinch
Jay Asher,Thirteen Reasons Why,4.02,Book by Jay Asher,goodbooks,https://www.amazon.in/s?k=Thirteen+Reasons+Why
Tracy Chevalier,Girl with a Pearl Earring,3.85,Book by Tracy Chevalier,goodbooks,https://www.amazon.in/s?k=Girl+with+a+Pearl+Earring
Gayle Forman,"If I Stay (If I Stay, #1)",3.96,Book by Gayle Forman,goodbooks,"https://www.amazon.in/s?k=If+I+Stay+(If+I+Stay,+#1)"
Anita Diamant,The Red Tent,4.16,Book by Anita Diamant,goodbooks,https://www.amazon.in/s?k=The+Red+Tent
Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,Book by Rick Riordan,goodbooks,"https://www.amazon.in/s?k=The+Sea+of+Monsters+(Percy+Jackson+and+the+Olympians,+#2)"
Nicholas Sparks,Dear John,4.01,Book by Nicholas Sparks,goodbooks,https://www.amazon.in/s?k=Dear+John
Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",4.21,Book by Cassandra Clare,goodbooks,"https://www.amazon.in/s?k=City+of+Ashes+(The+Mortal+Instruments,+#2)"
William Shakespeare,Macbeth,3.88,Book by William Shakespeare,goodbooks,https://www.amazon.in/s?k=Macbeth
J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",4.42,Book by J.R.R. Tolkien,goodbooks,"https://www.amazon.in/s?k=The+Two+Towers+(The+Lord+of+the+Rings,+#2)"
Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",3.83,Book by Emily Giffin,goodbooks,"https://www.amazon.in/s?k=Something+Borrowed+(Darcy+&+Rachel,+#1)"
"Dr. Seuss, לאה נאור",Green Eggs and Ham,4.29,"Book by Dr. Seuss, לאה נאור",goodbooks,https://www.amazon.in/s?k=Green+Eggs+and+Ham
"Roald Dahl, Quentin Blake","Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,"Book by Roald Dahl, Quentin Blake",goodbooks,"https://www.amazon.in/s?k=Charlie+and+the+Chocolate+Factory+(Charlie+Bucket,+#1)"
Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,Book by Rick Riordan,goodbooks,"https://www.amazon.in/s?k=The+Battle+of+the+Labyrinth+(Percy+Jackson+and+the+Olympians,+#4)"
Charles Dickens,Great Expectations,3.75,Book by Charles Dickens,goodbooks,https://www.amazon.in/s?k=Great+Expectations
